ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE16,2025-09-11,49.553204,43.38561248779297,2025-09-01
VE1601,2025-09-11,45.62686,37.820281982421875,2025-09-01
VE1602,2025-09-11,44.05846,38.343040466308594,2025-09-01
VE1603,2025-09-11,52.81024,48.61967086791992,2025-09-01
VE1604,2025-09-11,50.060665,42.91767501831055,2025-09-01
VE1605,2025-09-11,46.956245,35.92526626586914,2025-09-01
VE1606,2025-09-11,46.842686,35.78749084472656,2025-09-01
VE1607,2025-09-11,48.95158,43.951316833496094,2025-09-01
VE1608,2025-09-11,50.77006,44.997039794921875,2025-09-01
VE1609,2025-09-11,48.533333,42.17510986328125,2025-09-01
VE1610,2025-09-11,50.981148,46.259727478027344,2025-09-01
VE1611,2025-09-11,46.50567,36.0321044921875,2025-09-01
VE1612,2025-09-11,48.56552,44.29690170288086,2025-09-01
VE1613,2025-09-11,49.64865,47.72396469116211,2025-09-01
VE17,2025-09-11,18.91044,17.3680477142334,2025-09-01
VE1701,2025-09-11,19.426373,17.83946418762207,2025-09-01
VE1702,2025-09-11,25.192816,28.118473052978516,2025-09-01
VE1703,2025-09-11,18.798122,17.27259635925293,2025-09-01
VE1704,2025-09-11,19.025368,17.668214797973633,2025-09-01
VE1705,2025-09-11,18.090109,17.08409881591797,2025-09-01
VE1706,2025-09-11,19.584269,17.780662536621094,2025-09-01
VE1707,2025-09-11,18.88674,17.210243225097656,2025-09-01
VE1708,2025-09-11,19.753414,20.7099552154541,2025-09-01
VE1709,2025-09-11,19.173649,17.3853702545166,2025-09-01
VE1710,2025-09-11,18.56151,17.631242752075195,2025-09-01
VE1711,2025-09-11,17.949135,19.40852165222168,2025-09-01
VE18,2025-09-11,54.970264,57.01651382446289,2025-09-01
VE1801,2025-09-11,48.282963,48.31205749511719,2025-09-01
VE1802,2025-09-11,50.740913,50.33110427856445,2025-09-01
VE1803,2025-09-11,53.784225,54.3958740234375,2025-09-01
VE1804,2025-09-11,61.464966,63.75178527832031,2025-09-01
VE1805,2025-09-11,60.170616,60.15341567993164,2025-09-01
VE1806,2025-09-11,53.14935,55.68400192260742,2025-09-01
VE1807,2025-09-11,53.96312,57.972476959228516,2025-09-01
VE1808,2025-09-11,49.71799,50.58376693725586,2025-09-01
VE1809,2025-09-11,56.81193,55.98161697387695,2025-09-01
VE1810,2025-09-11,59.95754,62.918697357177734,2025-09-01
VE1811,2025-09-11,48.1084,48.587120056152344,2025-09-01
VE1812,2025-09-11,62.26631,55.8894157409668,2025-09-01
VE1813,2025-09-11,64.22851,72.21337890625,2025-09-01
VE1814,2025-09-11,52.942127,53.21932601928711,2025-09-01
VE19,2025-09-11,49.210182,41.8448600769043,2025-09-01
VE1901,2025-09-11,49.289356,42.769676208496094,2025-09-01
VE1902,2025-09-11,42.199207,37.204429626464844,2025-09-01
VE1903,2025-09-11,49.891552,46.55869674682617,2025-09-01
VE1904,2025-09-11,52.49896,49.286319732666016,2025-09-01
VE1905,2025-09-11,36.882645,38.71749496459961,2025-09-01
VE1906,2025-09-11,46.4291,36.21477508544922,2025-09-01
VE1907,2025-09-11,48.552788,44.69646453857422,2025-09-01
VE1908,2025-09-11,38.63915,38.27284240722656,2025-09-01
